req,cfg,runs,success_rate,runtime_sec_mean,runtime_sec_std,ga_sec_mean,ga_sec_std,gen_mean,gen_std,eval_mean,eval_std,ga_sat_mean,ga_sat_std,ga_unsat_mean,ga_unsat_std,ga_unknown_mean,ga_unknown_std,instances_mean,instances_std,features_mean,features_std,class_balance_mean,class_balance_std,true_count_mean,true_count_std,false_count_mean,false_count_std,depth_mean,depth_std,weka_tree_size_mean,weka_tree_size_std,weka_num_leaves_mean,weka_num_leaves_std,weka_acc_mean,weka_acc_std,weka_kappa_mean,weka_kappa_std,runtime_sec_median,ga_sec_median,gen_median,eval_median,ga_sat_median,ga_unsat_median,ga_unknown_median,instances_median,features_median,class_balance_median,true_count_median,false_count_median,depth_median,weka_tree_size_median,weka_num_leaves_median,weka_acc_median,weka_kappa_median,root_feature_mode,root_feature_stability,root_threshold_mean_for_mode,root_threshold_std_for_mode,root_threshold_median_for_mode,root_threshold_iqr_for_mode
phi2,B,5,1.0,487.67658734321594,90.83571966432878,486.6590022563934,90.84440361453618,9.6,0.8944271909999159,2650.0,223.60679774997897,1852.6,200.61729735992358,331.2,21.890637268019404,2410.4,206.0055824486317,993.6,65.67191180405821,17.0,0.0,0.43143953625922055,0.007953206398775085,564.6,31.22178726466504,429.0,35.234925854895735,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,494.8100142478943,493.80546045303345,10.0,2750.0,1937.0,327.0,2503.0,981.0,17.0,0.4311377245508982,566.0,415.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9976331999999999,0.0013403252217278915,1.998044,0.00204699999999991
phi2,G,5,1.0,437.53576745986936,210.20927265027157,436.41822896003725,210.15179099303083,8.6,3.1304951684997055,2400.0,782.6237921249264,1243.6,490.95295090262977,716.2,226.11214031979796,2185.6,708.6284640063508,2148.6,678.3364209593939,17.0,0.0,0.48300511254017475,0.002222275112347079,1103.0,366.38436101995404,1045.6,311.9732360315545,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,518.8492147922516,517.6864314079285,10.0,2750.0,1430.0,783.0,2503.0,2349.0,17.0,0.48380726698262244,1209.0,1140.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9978007999999998,0.0014256229164824575,1.998132,0.0018899999999999473
phi2,G2,5,1.0,486.53025698661804,8.708521177919796,485.41216192245486,8.69666269488721,10.0,0.0,2750.0,0.0,1588.4,20.80384579831335,689.2,13.754999091239519,2501.0,10.535653752852738,2067.6,41.264997273718556,17.0,0.0,0.43604490590616124,0.0026684531475726185,1166.0,21.79449471770337,901.6,20.67123605399542,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,484.9014616012573,483.80299067497253,10.0,2750.0,1593.0,692.0,2502.0,2076.0,17.0,0.4359344894026975,1171.0,905.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9989256000000002,0.0007468187865874834,1.998847,0.0012460000000000804
phi2,G3,5,1.0,493.9805785655975,21.92150979660192,492.8648403644562,21.915130627849006,10.0,0.0,2750.0,0.0,1588.4,20.80384579831335,689.2,13.754999091239519,2501.0,10.535653752852738,2067.6,41.264997273718556,17.0,0.0,0.43604490590616124,0.0026684531475726185,1166.0,21.79449471770337,901.6,20.67123605399542,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,484.963308095932,483.860915184021,10.0,2750.0,1593.0,692.0,2502.0,2076.0,17.0,0.4359344894026975,1171.0,905.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9989256000000002,0.0007468187865874834,1.998847,0.0012460000000000804
phi2,O,5,1.0,447.1019753932953,203.2184070668963,445.98993797302245,203.1612429185925,8.8,2.6832815729997477,2450.0,670.820393249937,816.0,248.8714527622644,1188.6,358.6869108289289,2230.2,608.3475158164123,2448.0,746.6143582867932,17.0,0.0,0.46860079568511265,0.004447701621832833,1144.6,343.73870890547084,1303.4,402.9128938120496,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,514.5448093414307,513.4306883811951,10.0,2750.0,921.0,1348.0,2503.0,2763.0,17.0,0.46794871794871795,1293.0,1472.0,1.0,3.0,2.0,100.0,1.0,NUM2,1.0,-3.5013528000000003,0.0010758901895638923,-3.500986,0.0016449999999998965
phi3,B,5,1.0,903.3476910591125,387.0647424576972,901.7155973911285,386.93754900068757,9.0,2.23606797749979,2500.0,559.0169943749474,718.4,199.11755321919765,1113.4,274.6694376882874,2039.4,466.0260722320158,2155.2,597.3526596575929,40.0,0.0,0.4590785966282612,0.0076608643346160014,989.6,277.35500716590644,1165.6,321.2028953792291,5.4,0.5477225575051661,33.4,7.05691150575094,18.8,3.7013511046643495,99.93512000000001,0.052382554347798364,0.9986799999999999,0.0010545141061171009,1074.7503991127014,1073.1181955337524,10.0,2750.0,789.0,1221.0,2246.0,2367.0,40.0,0.4579636670891424,1084.0,1283.0,5.0,34.0,19.0,99.9554,0.9991,NUM1,1.0,5193392.1889936,72491.73092046595,5162813.972705,18500.136028000154
phi3,G,5,1.0,825.0512048244476,383.13162765098605,823.4446332454681,382.98331161928644,8.8,2.6832815729997477,2450.0,670.820393249937,962.4,356.6935659638396,834.8,208.13385116313972,2003.8,557.4878474011788,2421.0,807.9836013187396,40.0,0.0,0.479248567420438,0.024294269285778845,1174.4,416.01959088485245,1246.6,393.44542188212074,3.0,0.7071067811865476,15.8,2.16794833886788,9.6,1.3416407864998738,99.98602,0.01917034167666399,0.9997199999999999,0.00038340579025363485,961.0171945095062,959.4313144683838,10.0,2750.0,1138.0,908.0,2248.0,2724.0,40.0,0.4842143906020558,1319.0,1381.0,3.0,15.0,9.0,100.0,1.0,NUM1,1.0,4971366.3149768,241057.77418807376,5099525.201562,421146.29026099946
phi3,G2,5,1.0,1202.9440385341645,114.56951025665673,1201.3453554153443,114.56504098364182,10.0,0.0,2750.0,0.0,1426.4,33.4858178935501,845.8,33.67046183229449,2498.6,12.700393694685216,2537.4,101.01138549688346,40.0,0.0,0.4811458436461297,0.005048254340784996,1316.4,49.540892200282386,1221.0,54.4288526426931,3.0,0.0,10.0,0.0,6.0,0.0,99.98458000000001,0.034480168213047425,0.9997,0.0006708203932499127,1157.3970124721527,1155.788433790207,10.0,2750.0,1423.0,863.0,2497.0,2589.0,40.0,0.4798994974874372,1330.0,1229.0,3.0,10.0,6.0,100.0,1.0,NUM1,1.0,4698528.894085599,3394.7695741159264,4698374.08116,1919.183131000027
phi3,G3,5,1.0,1151.1242996692658,62.353588859631984,1149.5664757728578,62.353526117591116,10.0,0.0,2750.0,0.0,1514.8,31.830802691732423,772.2,35.21647341799005,2512.0,16.38596960817394,2316.6,105.64942025397015,40.0,0.0,0.4401660942211619,0.004168778332167261,1296.8,56.60123673560499,1019.8,50.64286721740782,3.0,0.0,10.0,0.0,6.0,0.0,99.98208,0.040070338156798176,0.99964,0.0008049844718999349,1149.9840943813324,1148.4255797863007,10.0,2750.0,1525.0,753.0,2511.0,2259.0,40.0,0.4395750332005312,1266.0,1000.0,3.0,10.0,6.0,100.0,1.0,NUM1,1.0,4698133.0122291995,5811.414480809816,4700728.669803,9085.045869999565
phi3,O1,5,1.0,850.927630853653,42.329946769826975,849.3791596412659,42.338052387896255,10.0,0.0,2750.0,0.0,1030.8,20.0922870773837,859.4,40.90598978144888,2082.8,32.980297148449104,2578.2,122.71796934434664,40.0,0.0,0.4883219970119039,0.008571327833286688,1259.0,63.45470825714984,1319.2,66.60105104275758,3.2,1.0954451150103321,10.4,2.1908902300206643,6.2,1.0954451150103321,99.97686,0.021153439436650302,0.99954,0.0004219004621945938,865.2475259304047,863.7149901390076,10.0,2750.0,1027.0,873.0,2092.0,2619.0,40.0,0.4880952380952381,1293.0,1324.0,4.0,12.0,7.0,99.9628,0.9993,NUM1,1.0,5196010.185173599,2819.877830543725,5196991.05201,2691.277839000337
