@relation all.2023-03-07_02:36:58.410199


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute TERM0 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute NUM0 NUMERIC
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute IMP0 {Implies}
@attribute TERM2 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute LOGICALS1 {And, Or}
@attribute TERM3 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute NUM3 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,641.880658,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-342.665974,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,476.655206,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-20.123665,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,698.194675,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1079.093395,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,218.279183,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1010.841186,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,809.895488,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1040.005725,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,390.378234,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-668.065031,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,607.409514,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-71.821098,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,260.633063,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-354.811238,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.806069,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-65.152285,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,658.656869,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-976.662933,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,541.357448,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-32.197593,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,401.272693,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-699.918706,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,402.239139,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-858.140812,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,456.035319,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-315.359237,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,923.727942,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-520.078210,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,829.559129,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-69.333019,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,242.735996,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-475.183107,TRUE
