Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 312.740616 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -589.836330)	48.0	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 968.026994 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -732.687445)	48.0	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 151.279933 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -413.530745)	48.0	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1060.296664 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -190.857120)	48.0	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 637.679365 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1031.031737)	48.0	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 698.754725 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -350.936702)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 5.156204 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -216.269395)	48.0	False
